,Category,Description,Domain,Enrolled,Features,Instructors_Names,Instructors_No,Offered_by,People_rated,Rating,Sub_Domain,Tittle,Views
0,specializations,"This Specialization will introduce you to the magic of 3D printing. Through a series of four cohesive courses and a hands-on capstone experience, you will acquire the knowledge and skills to turn your ideas into objects and your objects into ideas. This course brings together a unique mix of academics and industry through partnerships with Ultimaker, a leading desktop 3D Printer manufacturer, and Autodesk, the leader in 3D modeling software.",Computer Science,3094,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']","['Aric Rindfleisch', 'Vishal Sachdev', 'Jeffrey Smith', 'Matthew Griffin', 'Alex Larson']",5.0,University of Illinois at Urbana-Champaign,104,4.5,Design and Product,3D Printing and Additive Manufacturing Specialization,4278
1,specializations,"The skills taught in this Specialization will empower you to succeed in any college-level course or professional field. Youâll learn to conduct rigorous academic research and to express your ideas clearly in an academic format. In the final Capstone Project, all the knowledge that youâve gained over the span of these courses will culminate into an academic research paper on an issue of your choice.",Social Sciences,177096,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']","['Tamy Chapman', 'Helen Nam', 'Brad Gilpin']",3.0,"University of California, Irvine",11265,4.8,Education,Academic English: Writing Specialization,37337
2,specializations,"Develop skills in information & digital literacy, problem-solving, critical thinking and communication.

This Specialization is a high-level academic skills course designed to increase your level of academic preparedness prior to commencement of your studies in an English-medium university. The course equips you for full participation and engagement with your studies by building awareness and understanding of the core values and expectations of academic culture.",Social Sciences,29703,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 8 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 8 months to complete', 'English']","['Katherine Olston', 'Lydia Dutcher', 'Luke Alexander', 'Jessica Blackburn']",4.0,The University of Sydney,4208,4.9,Education,Academic Skills for University Success Specialization,6895
3,specializations,"In this hands-on Specialization you will practice completing each step of the accounting cycle within Microsoft Excel, from analyzing and recording the first financial transactions of the year all the way through starting the new fiscal year.

The skills covered in this course include recording in the journal, posting in the ledgers, preparing financial statements, recording and posting closing entries, as well as preparing trial balances.",Business,3151,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'English']",['Andrea Eliassen'],1.0,"University of California, Irvine",194,4.8,Finance,Introduction to Financial Accounting: The Accounting Cycle Specialization,3537
4,specializations,"This specialization develops learnersâ analytics mindset and knowledge of data analytics tools and techniques. Specifically, this specialization develops learners' analytics skills by first introducing an analytic mindset, data preparation, visualization, and analysis using Excel. Next, this specialization develops learners' skills of using Python for data preparation, data visualization, data analysis, and data interpretation and the ability to apply these skills to issues relevant to accounting. This specialization also develops learnersâ skills in machine learning algorithms (using Python), including classification, regression, clustering, text analysis, time series analysis, and model optimization, as well as their ability to apply these machine learning skills to real-world problems.",Data Science,5430,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 7 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 7 months to complete', 'English']","['Ronald Guymon', 'Linden Lu']",2.0,University of Illinois at Urbana-Champaign,118,4.6,Data Analysis,Accounting Data Analytics Specialization,5453
5,specializations,"The courses in this specialization can also be taken for academic credit as ECEA 5605-5607, part of CU Boulderâs Master of Science in Electrical Engineering degree. Enroll here.

This Active Optical Devices specialization is designed to help you gain complete understanding of active optical devices by clearly defining and interconnecting the fundamental physical mechanisms, device design principles, and device performance. You will study and gain active experience with light emitting semiconductor devices like light emitting diodes and lasers, nanophotonics, optical detectors, and displays.

Specialization Learning Outcomes:

*Analyze and design semiconductor light sources, and surrounding optical systems

*Analyze and design detection systems for LIDAR, microscopy and cameras

*Analyze and design systems for optical device systems that can adapt to the environment at hand.

*Use lasers and optical electronics in electronic systems through an understanding of the interaction of light and atoms, laser rate equations and noise in photo-detection.",Physical Science and Engineering,4524,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 4 months to complete', 'English']",['Juliet Gopinath'],1.0,University of Colorado Boulder,60,4.0,Electrical Engineering,Active Optical Devices Specialization,1528
6,specializations,"Este Programa especializado estÃ¡ dirigido a quienes busquen profundizar en el campo de la administraciÃ³n de empresas, recorriendo distintas Ã¡reas de esta disciplina. A travÃ©s de estos cursos te irÃ¡s apropiando de diferentes saberes, entre ellos:

Comprender la importancia del desarrollo estratÃ©gico en la gestiÃ³n de capital humano. Desarrollar el objetivo empresarial. Desarrollar sistemas Ã¡giles de gestiÃ³n. Entender la relaciÃ³n del marketing con el negocio, su lado estratÃ©gico y la relevancia del marketing operativo. Generar herramientas que permitan analizar y comprender apropiadamente el modo en el que el contexto econÃ³mico influye sobre el desempeÃ±o de una empresa. Interpretar y utilizar la informaciÃ³n contable y financiera como herramienta para el control de gestiÃ³n y la toma de decisiones.",Business,1977,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'Spanish']","['Esteban Maccari', 'Walter Esquivel', 'Estela Trepat', 'Lucas Pussetto', 'Juan Pablo Guerrero']",5.0,Universidad de Palermo,197,4.6,Business Essentials,AdministraciÃ³n de Empresas Specialization,5262
7,specializations,"Planifica actividades y recursos, administra presupuestos y controla riesgos. Este Programa especializado cubre los procesos de iniciaciÃ³n y planificaciÃ³n de proyectos, definiciÃ³n y estimaciÃ³n de presupuestos, asÃ­ como la gestiÃ³n de riesgos y administraciÃ³n de cambios. En el proyecto final, desarrollado en asociaciÃ³n con una empresa, aplicarÃ¡s las habilidades aprendidas al desarrollar los elementos de un proyecto vistos en los cursos previos.",Business,32833,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'Spanish']",['Dr. Filiberto GonzÃ¡lez HernÃ¡ndez'],1.0,TecnolÃ³gico de Monterrey,3210,4.7,Leadership and Management,AdministraciÃ³n de Proyectos: Principios BÃ¡sicos Specialization,7106
8,specializations,"As a coursera certified specialization completer you will have a proven deep understanding on massive parallel data processing, data exploration and visualization, and advanced machine learning & deep learning. You'll understand the mathematical foundations behind all machine learning & deep learning algorithms. You can apply knowledge in practical use cases, justify architectural decisions, understand the characteristics of different algorithms, frameworks & technologies & how they impact model performance & scalability.

If you choose to take this specialization and earn the Coursera specialization certificate, you will also earn an IBM digital badge. To find out more about IBM digital badges follow the link ibm.biz/badging.",Data Science,38051,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 4 months to complete', 'English']","['Romeo Kienzler', 'Nikolay Manchev', 'Niketan Pansare', 'Tom Hanlon', 'Max Pumperla', 'Ilja Rasin']",6.0,IBM Skills Network,2283,4.4,Machine Learning,Advanced Data Science with IBM Specialization,14101
9,specializations,This specialization follows our Learn English: Intermediate Grammar specialization and includes more advanced grammar concepts such as noun clauses and conditionals. You'll also learn how to blend verb tenses effectively and how to punctuate sentences correctly. This specialization is useful for non-native English speakers who want to improve their fluency or native speakers who want to improve their accuracy in using English for academic or professional purposes.,Language Learning,62571,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 5 months to complete', 'English']","['Tamy Chapman', 'Nicole Jacobs', 'Brad Gilpin', 'Emily EllisTop Instructor']",4.0,"University of California, Irvine",1691,4.8,Learning English,Learn English: Advanced Grammar and Punctuation Specialization,25526
